scientificName,decimalLatitude,decimalLongitude,Record
Eusphyrus lioderus,14.7167,-91.4833,Specimen_Previous
Eusphyrus minax,14.7167,-91.4833,Specimen_Previous
Eusphyrus mucronatus,14.3833,-90.8667,Specimen_Previous
Eusphyrus rugicollis,14.2333,-90.7000,Specimen_Previous
Esuphyrus scutosus,15.1333,-90.1833,Specimen_Previous
Eusphyrus simplex,15.0000,-91.1667,Specimen_Previous
Eusphyrus tonsor,14.6167,-90.5000,Specimen_Previous
Eusphyrus tonsor,14.4833,-90.8000,Specimen_Previous
Eusphyrus tonsor,14.5333,-90.7833,Specimen_Previous
Ormiscus aeneus,14.6000,-90.4667,Specimen_Previous
Ormiscus aequalis,15.1333,-90.1833,Specimen_Previous
Ormiscus calus,14.5333,-90.7833,Specimen_Previous
Ormiscus costifrons,14.8167,-91.5167,Specimen_Previous
Ormiscus costifrons,14.7167,-91.4833,Specimen_Previous
Ormiscus costifrons,14.4833,-90.8000,Specimen_Previous
Ormiscus costifrons,14.6167,-90.5000,Specimen_Previous
Ormiscus costifrons,15.1333,-90.1833,Specimen_Previous
Ormiscus elegans,14.7167,-91.4833,Specimen_Previous
Ormiscus frieseri,14.4667,-90.9500,Specimen_Previous
Ormiscus marmoreus,15.0000,-91.1667,Specimen_Previous
Ormiscus minor,15.1333,-90.1833,Specimen_Previous
Ormiscus minor,14.5333,-90.7833,Specimen_Previous
Ormiscus nanus,14.5000,-90.5000,Specimen_Previous
Ormiscus phaeomelas,14.9000,-91.3667,Specimen_Previous
Ormiscus stratus,15.1333,-90.1833,Specimen_Previous
Ormiscus tener,14.6167,-90.5000,Specimen_Previous
Ormiscus tener,14.5333,-90.7833,Specimen_Previous
Ambonoderes punctiger,14.3333,-91.0000,Specimen_Previous
Araecerus fasciculatus,14.5176,-90.5601,Specimen_New
Araecerus fasciculatus,14.5971,-89.9832,Observation
Neoxenus polius,15.4167,-89.2167,Specimen_Previous
Holostilpna picipes,15.2667,-90.2167,Specimen_Previous
Habroxenus fuscus,15.4000,-89.7833,Specimen_Previous
Habroxenus fuscus,15.7500,-88.7500,Specimen_Previous
Habroxenus fuscus,14.5233,-91.1362,Specimen_New
